,precision,recall,f1-score,support
0,0.38070404172099087,0.292,0.3305036785512167,1000.0
1,0.3825136612021858,0.35,0.36553524804177545,1000.0
2,0.2752808988764045,0.147,0.19165580182529332,1000.0
3,0.21478382147838215,0.154,0.1793826441467676,1000.0
4,0.246558197747184,0.197,0.2190105614230128,1000.0
5,0.3069815195071869,0.299,0.3029381965552178,1000.0
6,0.2839396628216504,0.32,0.3008932769158439,1000.0
7,0.31269035532994927,0.308,0.3103274559193955,1000.0
8,0.26781661370857923,0.59,0.36840462066812363,1000.0
9,0.4157303370786517,0.407,0.41131884790298134,1000.0
accuracy,0.3064,0.3064,0.3064,0.3064
macro avg,0.3086999109471165,0.3064,0.2979970331949628,10000.0
weighted avg,0.30869991094711646,0.3064,0.2979970331949628,10000.0
