,precision,recall,f1-score,support
0,0.9436865482233503,0.9634008097165991,0.953441782194086,6175.0
1,0.9308038760747919,0.9727570959920125,0.9513181754777513,7011.0
2,0.9065296652303613,0.8804120392724931,0.8932799869355761,6213.0
3,0.8990546386796988,0.8733073929961089,0.8859939996841939,6425.0
4,0.9025953220121756,0.9233038348082596,0.9128321451717435,6102.0
5,0.847171453437772,0.8670942455015144,0.857017080471914,5613.0
6,0.9317301484828922,0.942530612244898,0.9370992614235858,6125.0
7,0.9251870324189526,0.9100107312586233,0.9175361310765903,6523.0
8,0.8851049191606467,0.8472176489957195,0.8657469717362045,6074.0
9,0.8890147225368064,0.8807501202115724,0.8848631239935588,6239.0
accuracy,0.907216,0.907216,0.907216,0.907216
macro avg,0.9060878326257449,0.9060784530997802,0.9059128658165205,62500.0
weighted avg,0.9070266816306048,0.907216,0.9069475625408815,62500.0
