,precision,recall,f1-score,support
0,0.6055045871559633,0.132,0.21674876847290642,1000.0
1,0.382329945269742,0.489,0.42913558578323824,1000.0
2,0.3185689948892675,0.187,0.23566477630749844,1000.0
3,0.28963795255930086,0.232,0.25763464741810105,1000.0
4,0.261478163493841,0.467,0.33524766690595836,1000.0
5,0.4894957983193277,0.233,0.3157181571815718,1000.0
6,0.42134831460674155,0.375,0.39682539682539675,1000.0
7,0.33634602969657845,0.521,0.4087877599058455,1000.0
8,0.4087329992841804,0.571,0.4764288694201085,1000.0
9,0.45624385447394294,0.464,0.4600892414476946,1000.0
accuracy,0.3671,0.3671,0.3671,0.3671
macro avg,0.39696866397488856,0.3671,0.35322808696683194,10000.0
weighted avg,0.39696866397488856,0.3671,0.35322808696683194,10000.0
