,precision,recall,f1-score,support
0,0.9558232931726908,0.9754098360655737,0.9655172413793104,244.0
1,0.93,0.9721254355400697,0.950596252129472,287.0
2,0.9344978165938864,0.9106382978723404,0.9224137931034482,235.0
3,0.915129151291513,0.8825622775800712,0.8985507246376813,281.0
4,0.9170506912442397,0.9342723004694836,0.9255813953488372,213.0
5,0.9061032863849765,0.8976744186046511,0.9018691588785046,215.0
6,0.9598214285714286,0.9555555555555556,0.957683741648107,225.0
7,0.9598393574297188,0.9299610894941635,0.9446640316205533,257.0
8,0.8708487084870848,0.932806324110672,0.9007633587786259,253.0
9,0.927797833935018,0.8862068965517241,0.9065255731922398,290.0
accuracy,0.9272,0.9272,0.9272,0.9272
macro avg,0.9276911567110557,0.9277212431844306,0.9274165270716781,2500.0
weighted avg,0.927623118852322,0.9272,0.9271044306489752,2500.0
